Player,Team,League,Nationality,Matches,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Attempted Goal Kicks,Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Pass Length,Goal Kick Length,Distance of Defensive Actions
Aaron Ramsdale,Southampton,Premier League,eng ENG,30,2700,188.0,66.0,120.0,63.7,-2.3,3,196.0,605.0,1026.0,129.0,190.0,457.0,25.0,20.0,4.32,55.93,17.07
Adrian Rodriguez,Alavés,La Liga,es ESP,2,122,6.0,2.0,4.0,1.5,-0.5,1,18.0,48.0,26.0,0.0,24.0,33.0,0.0,0.0,0.0,67.44,
Adrián,Betis,Europa Conference League / La Liga,es ESP,26,2340,101.0,36.0,65.0,36.0,0.0,5,73.0,224.0,688.0,113.0,142.0,309.0,20.0,23.0,5.06,32.23,17.19
Aitor Fernández,Osasuna,La Liga,es ESP,1,90,5.0,0.0,5.0,1.2,1.2,1,19.0,35.0,34.0,4.0,11.0,14.0,1.0,1.0,5.22,59.9,10.6
Alban Lafont,Nantes,Ligue 1,fr FRA,12,1080,49.0,19.0,32.0,16.8,-2.2,2,40.0,143.0,309.0,56.0,57.0,200.0,16.0,6.0,6.31,51.12,14.55
Albert Posiadala,Molde,Europa Conference League,pl POL,6,540,19.0,11.0,8.0,8.9,-2.1,1,21.0,53.0,158.0,21.0,24.0,58.0,3.0,10.0,4.0,33.64,16.54
Alberto Paleari,Torino,Serie A,it ITA,1,90,7.0,3.0,4.0,2.2,-0.8,0,8.0,12.0,26.0,5.0,6.0,12.0,0.0,5.0,5.96,42.0,27.3
Aleksandr Zarutskiy,Astana FK,Europa Conference League,kz KAZ,1,90,6.0,2.0,4.0,2.4,0.4,0,2.0,6.0,19.0,5.0,5.0,18.0,1.0,0.0,7.03,40.8,
Aleksei Ploshchadnyi,FC Noah,Europa Conference League,ru RUS,3,270,18.0,7.0,10.0,7.1,0.1,1,9.0,29.0,68.0,14.0,17.0,41.0,2.0,4.0,7.29,32.04,15.7
Alen Sherri,Cagliari,Serie A,al ALB,7,621,31.0,11.0,20.0,11.0,0.0,1,29.0,84.0,168.0,22.0,57.0,85.0,4.0,5.0,3.93,37.02,13.46
Alex McCarthy,Southampton,Premier League,eng ENG,5,450,37.0,13.0,24.0,12.6,-0.4,0,24.0,52.0,132.0,29.0,23.0,74.0,8.0,0.0,6.16,30.77,
Alex Meret,Napoli,Serie A,it ITA,34,3005,84.0,25.0,59.0,25.2,0.2,16,88.0,214.0,1041.0,117.0,181.0,378.0,21.0,47.0,3.07,34.92,19.31
Alex Padilla,Athletic Club,La Liga,es ESP,5,321,17.0,6.0,12.0,4.8,-1.2,1,27.0,78.0,98.0,15.0,22.0,57.0,2.0,3.0,6.12,64.53,15.93
Alex Palmer,Ipswich Town,Premier League,eng ENG,13,1170,71.0,30.0,43.0,25.2,-4.8,0,71.0,186.0,329.0,55.0,94.0,249.0,20.0,13.0,5.36,50.79,13.99
Alexander Meyer,Dortmund,Bundesliga / Champions League,de GER,3,270,12.0,4.0,8.0,4.1,0.1,1,11.0,42.0,121.0,8.0,11.0,33.0,3.0,3.0,1.96,57.27,14.87
