Player,Team,League,Nationality,Matches,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Attempted Goal Kicks,Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Pass Length,Goal Kick Length,Distance of Defensive Actions
Aaron Ramsdale,Southampton,Premier League,eng ENG,30,2700,6.27,2.2,4.0,2.12,-0.08,0.1,6.53,20.17,34.2,4.3,6.33,15.23,0.83,0.67,4.32,55.93,17.07
Adrian Rodriguez,Alavés,La Liga,es ESP,2,122,4.43,1.48,2.95,1.11,-0.37,0.74,13.28,35.41,19.18,0.0,17.7,24.34,0.0,0.0,0.0,67.44,
Adrián,Betis,Europa Conference League / La Liga,es ESP,26,2340,3.88,1.38,2.5,1.38,0.0,0.19,2.81,8.62,26.46,4.35,5.46,11.88,0.77,0.88,5.06,32.23,17.19
Aitor Fernández,Osasuna,La Liga,es ESP,1,90,5.0,0.0,5.0,1.2,1.2,1.0,19.0,35.0,34.0,4.0,11.0,14.0,1.0,1.0,5.22,59.9,10.6
Alban Lafont,Nantes,Ligue 1,fr FRA,12,1080,4.08,1.58,2.67,1.4,-0.18,0.17,3.33,11.92,25.75,4.67,4.75,16.67,1.33,0.5,6.31,51.12,14.55
Albert Posiadala,Molde,Europa Conference League,pl POL,6,540,3.17,1.83,1.33,1.48,-0.35,0.17,3.5,8.83,26.33,3.5,4.0,9.67,0.5,1.67,4.0,33.64,16.54
Alberto Paleari,Torino,Serie A,it ITA,1,90,7.0,3.0,4.0,2.2,-0.8,0.0,8.0,12.0,26.0,5.0,6.0,12.0,0.0,5.0,5.96,42.0,27.3
Aleksandr Zarutskiy,Astana FK,Europa Conference League,kz KAZ,1,90,6.0,2.0,4.0,2.4,0.4,0.0,2.0,6.0,19.0,5.0,5.0,18.0,1.0,0.0,7.03,40.8,
Aleksei Ploshchadnyi,FC Noah,Europa Conference League,ru RUS,3,270,6.0,2.33,3.33,2.37,0.03,0.33,3.0,9.67,22.67,4.67,5.67,13.67,0.67,1.33,7.29,32.04,15.7
Alen Sherri,Cagliari,Serie A,al ALB,7,621,4.49,1.59,2.9,1.59,0.0,0.14,4.2,12.17,24.35,3.19,8.26,12.32,0.58,0.72,3.93,37.02,13.46
Alex McCarthy,Southampton,Premier League,eng ENG,5,450,7.4,2.6,4.8,2.52,-0.08,0.0,4.8,10.4,26.4,5.8,4.6,14.8,1.6,0.0,6.16,30.77,
Alex Meret,Napoli,Serie A,it ITA,34,3005,2.52,0.75,1.77,0.75,0.01,0.48,2.64,6.41,31.18,3.5,5.42,11.32,0.63,1.41,3.07,34.92,19.31
Alex Padilla,Athletic Club,La Liga,es ESP,5,321,4.77,1.68,3.36,1.35,-0.34,0.28,7.57,21.87,27.48,4.21,6.17,15.98,0.56,0.84,6.12,64.53,15.93
Alex Palmer,Ipswich Town,Premier League,eng ENG,13,1170,5.46,2.31,3.31,1.94,-0.37,0.0,5.46,14.31,25.31,4.23,7.23,19.15,1.54,1.0,5.36,50.79,13.99
Alexander Meyer,Dortmund,Bundesliga / Champions League,de GER,3,270,4.0,1.33,2.67,1.37,0.03,0.33,3.67,14.0,40.33,2.67,3.67,11.0,1.0,1.0,1.96,57.27,14.87
Alexander Nübel,Stuttgart,Bundesliga / Champions League,de GER,41,3690,3.95,1.61,2.34,1.28,-0.33,0.2,4.49,11.71,35.29,3.95,3.39,11.59,0.63,1.46,3.21,38.52,21.77
Alexander Schlager,RB Salzburg,Champions League,at AUT,4,335,8.33,3.49,4.84,2.82,-0.67,0.0,3.76,13.16,25.52,3.76,5.91,15.31,1.07,2.96,5.2,33.82,21.38
Alexander Schwolow,Union Berlin,Bundesliga,de GER,6,540,4.67,2.17,2.5,1.63,-0.53,0.0,4.67,12.17,27.67,4.33,6.67,14.17,0.0,0.67,4.55,42.55,20.75
Aleš Mandous,Slavia Prague,Europa League,cz CZE,2,180,7.0,2.0,4.5,2.4,0.4,0.0,3.5,9.0,36.0,5.5,3.5,9.5,0.5,1.0,3.84,47.59,16.15
Alisson,Liverpool,Champions League / Premier League,br BRA,34,3048,3.75,0.94,2.86,1.1,0.12,0.35,3.01,8.56,32.45,4.52,2.98,9.39,0.44,1.65,3.9,35.25,18.22
Alphonse Areola,West Ham,Premier League,fr FRA,26,2260,4.58,1.63,3.07,1.41,-0.22,0.2,5.38,15.29,31.38,4.74,7.81,15.69,0.6,1.19,4.76,42.95,18.94
Altay Bayındır,Manchester Utd,Europa League / Premier League,tr TUR,6,540,4.5,1.83,2.83,2.0,0.17,0.33,2.17,12.0,30.0,3.17,5.17,11.67,0.67,1.5,3.2,47.55,15.97
