Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Line Index,Passes Index
Abraham Romero,mx MEX,GK,Columbus Crew,25,1998,1,1,90,75,28
Adam Beaudry,us USA,GK,Colorado Rapids,17,2006,1,1,90,13,33
Adrian Šemper,hr CRO,GK,Como,25,1998,38,38,3398,47,44
Adriel,br BRA,GK,Bahia,23,2001,4,3,334,27,38
Agustín Marchesín,ar ARG,GK,br Grêmio,35,1988,36,36,3225,64,42
Agustín Rossi,ar ARG,GK,br Flamengo,28,1995,45,45,4050,65,56
Alan Aguerre,ar ARG,GK,Lanús,33,1990,10,10,900,35,53
Alan Sosa,ar ARG,GK,Tigre,27,1996,3,2,236,75,43
Alec Kann,us USA,GK,FC Cincinnati,33,1990,3,3,270,14,32
Alec Smir,us USA,GK,Minnesota Utd,24,1999,3,3,270,22,19
Alejandro Araque,ve VEN,GK,ve Dep Táchira,28,1995,2,2,180,37,24
Alejandro Santander,cl CHI,GK,cl Cobresal,21,2002,1,1,90,10,24
Alessandro Micai,it ITA,GK,Cosenza,30,1993,37,37,3296,63,67
Alex Bono,us USA,GK,D.C. United,29,1994,29,29,2610,30,79
Alex McCarthy,eng ENG,GK,Southampton,33,1989,5,5,450,32,39
Alex Palmer,eng ENG,GK,West Brom,26,1996,46,46,4140,55,39
Alexander Domínguez,ec ECU,GK,ec LDU de Quito,36,1987,6,6,540,57,46
Alfonso Blanco Antúnez,mx MEX,GK,León,36,1987,2,2,180,78,47
Alfredo Talavera,mx MEX,GK,FC Juárez,40,1982,17,17,1469,28,52
Alisson,br BRA,GK,Criciúma,28,1995,6,4,421,50,46
Aljaž Ivačič,si SVN,GK,NE Revolution,30,1993,25,25,2250,39,38
Anatolii Trubin,ua UKR,GK,Benfica,21,2001,28,28,2520,71,26
Anderson,br BRA,GK,Cruzeiro,25,1998,17,17,1530,55,25
Andre Blake,jm JAM,GK,Philadelphia Union,33,1990,14,14,1112,61,38
Andrea Fulignati,it ITA,GK,Catanzaro,28,1994,37,37,3330,62,61
Andrea Sala,it ITA,GK,Catanzaro,29,1993,1,1,90,58,22
Andrea Seculin,it ITA,GK,Modena,33,1990,17,16,1487,38,49
Andreas Jungdal,dk DEN,GK,Cremonese,21,2002,18,18,1620,76,53
Andrew,br BRA,GK,Gil Vicente FC,22,2001,32,32,2880,51,44
Andrew Rick,us USA,GK,Philadelphia Union,18,2006,6,6,540,35,52
Andrew Tarbell,us USA,GK,Houston Dynamo,30,1993,4,3,288,52,55
Andrew Thomas,ru RUS,GK,Seattle Sounders,25,1998,7,5,593,60,27
Andries Noppert,nl NED,GK,Heerenveen,29,1994,22,22,1980,38,64
Andrés Gudiño,mx MEX,GK,Cruz Azul,26,1997,14,13,1219,37,39
Andrés Sánchez,mx MEX,GK,Atlético,25,1997,24,24,2160,29,34
Angus Gunn,sct SCO,GK,Norwich City,27,1996,40,40,3540,60,49
Anthoni,br BRA,GK,Internacional,22,2002,2,2,180,66,52
Anthony Moris,lu LUX,GK,Union SG,33,1990,29,29,2588,50,72
Anthony Patterson,eng ENG,GK,Sunderland,23,2000,45,45,4050,56,50
Antonio Adán,es ESP,GK,Sporting CP,36,1987,22,22,1980,36,38
Antony Iannarilli,it ITA,GK,Ternana,32,1990,32,32,2880,56,46
António Filipe de Carvalho,pt POR,GK,Estrela,38,1985,3,3,270,78,39
Arnaud Bodart,be BEL,GK,Standard Liège,25,1998,29,29,2610,57,42
Asmir Begović,ba BIH,GK,QPR,36,1987,45,45,4049,39,54
Axel Werner,ar ARG,GK,Rosario Central,27,1996,3,3,270,74,66
Aynsley Pears,eng ENG,GK,Blackburn,25,1998,26,26,2311,47,46
Barry Lauwers,nl NED,GK,Volendam,23,1999,1,1,90,27,76
Bartosz Białkowski,pl POL,GK,Millwall,36,1987,14,14,1260,50,52
Bartłomiej Drągowski,pl POL,GK,Spezia,25,1997,13,13,1170,38,40
Ben Hamer,eng ENG,GK,Watford,35,1987,19,19,1710,53,38
Ben Wilson,eng ENG,GK,Coventry City,30,1992,18,18,1620,28,40
Benjamin Lundt,de GER,GK,St. Louis,28,1995,3,2,239,24,65
Benny Díaz,mx MEX,GK,FC Juárez,24,1998,4,4,360,13,48
Bento,br BRA,GK,Ath Paranaense,24,1999,7,7,630,80,57
Boy Waterman,nl NED,GK,PSV Eindhoven,39,1984,1,0,6,68,99
Brad Guzan,us USA,GK,Atlanta Utd,39,1984,32,32,2849,61,81
Brad Stuver,us USA,GK,Austin,32,1991,34,34,3060,70,74
Bradley Collins,eng ENG,GK,Coventry City,26,1997,28,28,2520,50,55
Brayan Cortés,cl CHI,GK,cl Colo-Colo,28,1995,10,10,900,60,53
Brenno,br BRA,GK,Bari,24,1999,33,33,2939,32,23
Bruno,br BRA,GK,Venezia,25,1998,9,9,810,31,60
Bruno Brigido,br BRA,GK,Estrela,32,1991,26,26,2340,44,47
Bruno Varela,cv CPV,GK,Vitória,28,1994,27,27,2385,63,61
